Political Entities,Start,End,Ethnic Group,Language,Religion,Founder,Capital,Present Day Location,Code,Region,Duration (year),Area (thousand km2),Population (million),,Duration,Area,Population,Economics,Military,Culture,Technology,Governance,Social,,Overall
Twenty-second Dynasty of Egypt / 古埃及（第二十二王朝）,-943,-716,Ancient Libyan / 古利比亚,Late Egyptian / 新埃及语,Ancient Egyptian Religion / 古埃及宗教,Shoshenq I / 舍顺克一世,Bubastis / 布巴斯提斯,Zagazig / 宰加济格,EGY,North Africa / 北非,227,40,1.5,,A,D,D,B,B,C,C,C,C,,44
Kingdom of Judah / 犹大王国（南国）,-930,-587,Israelite / 以色列民,Biblical Hebrew / 圣经希伯来语,Yahwism / 雅威教,Rehoboam / 罗波安,Jerusalem / 耶路撒冷,Jerusalem / 耶路撒冷,ISR,West Asia / 西亚,343,10,0.1,,A,D,D,C,C,A,C,C,C,,44
Sparta / 斯巴达（城邦）,-930,-192,Greek / 希腊,Ancient Greek / 古希腊语,Ancient Greek Polytheism / 古希腊多神教,Eurysthenes / 欧里森尼斯,Sparta / 斯巴达,Sparta / 斯巴达,GRC,South Europe / 南欧,738,6,0.1,,S,D,D,D,B,B,D,B,C,,41
Kingdom of Isreal / 以色列王国 （北国）,-930,-720,Israelite / 以色列民,Biblical Hebrew / 圣经希伯来语,Yahwism / 雅威教,Jeroboam I / 耶罗波安一世,Samaria / 撒马利亚,Sebastia / 塞巴斯提亚,PSE,West Asia / 西亚,210,30,0.4,,A,D,D,C,C,B,C,C,C,,41
Neo-Assyrian Empire / 新亚述帝国,-911,-609,Assyrian / 亚述,Akkadian / 阿卡德语,Mesopotamia Polytheism / 美索不达米亚多神教,Adad-nirari II / 阿达德尼拉里二世,Nineveh / 尼尼微,Mosul / 摩苏尔,IRQ,West Asia / 西亚,302,1400,7,,A,B,C,A,A,A,B,A,C,,69
Qin / 秦（诸侯国）,-905,-221,Huaxia / 华夏,Old Chinese / 上古汉语,Chinese Folk Religion / 中国民间信仰,Ying Feizi / 嬴非子,Yong / 雍,Baoji / 宝鸡,CHN,East Asia / 东亚,684,800,7,,S,C,C,B,B,B,B,A,B,,60
Urartu / 乌拉尔图,-860,-547,Urartean / 乌拉尔图,Urartian / 乌拉尔图语,Urartu Polytheism / 乌拉尔图多神教,Arame / 阿拉麦,Tushpa / 图什帕,Van / 凡城,TUR,West Asia / 西亚,313,100,0.4,,A,C,D,B,B,B,B,B,C,,54
Tagaung Kingdom / 太公王国,-850,1050,Pyu / 骠,Pyu / 骠语,Theravāda Buddhism / 佛教（上座部佛教）,Abhiyaza / 阿毕罗阇,Tagaung / 太公,Tagaung / 太公,MMR,Southeast Asia / 东南亚,1900,40,0.3,,S,D,D,D,D,C,D,C,C,,30
Twenty-third Dynasty of Egypt / 古埃及（第二十三王朝）,-837,-728,Ancient Libyan / 古利比亚,Late Egyptian / 新埃及语,Ancient Egyptian Religion / 古埃及宗教,Harsiese A / 哈尔西埃塞一世,Leontopolis / 勒翁托波利斯,Kafr Al Muqdam / 卡夫尔穆克达姆,EGY,North Africa / 北非,109,20,1,,B,D,D,C,D,C,C,D,D,,31
Carthage / 迦太基,-814,-146,Phoenician / 腓尼基,Punic / 布匿语,Punic Religion / 迦太基宗教,Dido / 狄多,Carthage / 迦太基,Carthage / 迦太基,TUN,North Africa / 北非,668,1000,4,,S,B,C,A,A,B,B,A,B,,68
Zheng / 郑（诸侯国）,-806,-375,Huaxia / 华夏,Old Chinese / 上古汉语,Chinese Folk Religion / 中国民间信仰,Ji You / 姬友,Xinzheng / 新郑,Xinzheng / 新郑,CHN,East Asia / 东亚,431,30,0.5,,A,D,D,C,C,B,C,B,B,,44
Kingdom of Kush / 库施王国,-780,350,Nubian / 努比亚,Demotic Egyptian / 世俗埃及语,Ancient Egyptian Religion / 古埃及宗教,Alara / 阿拉拉,Napata / 那帕塔,Karima / 库赖迈,SDN,North Africa / 北非,1130,500,2,,S,C,D,B,B,A,B,B,B,,59
